oh my god help my friend is just lying there. there is so much blood. help he's in so much pain,bleeding
my mother fell and now she's bleeding. there is blood everywhere,bleeding
help sam just fell and now he's losing so much blood. i don't know how long he will last he's bleeding so much,bleeding
my friend just cut herself on a knife and now she's really bleeding. there is blood everywhere. i don't know what to do,bleeding
help my mom just fell onto a knife and she's losing so much blood. i think she's going into shock,bleeding
my father hurt himself and now he's bleeding everywhere. he's so pale and cold. and his pulse is so slow,bleeding
help my brother hurt himself and has lost so much blood he fainted. there is blood everywhere and his breathing is so shallow,bleeding
i'm hurt and the bleeding is so extensive i can barely think i'm so confused. i'm so cold and there is blood everywhere,bleeding
help help my boyfriend is bleeding god there is blood everywhere. he looks so pale and he looks so tired. i'm scared he will go into shock,bleeding
my friend was stabbed and her bleeding is severe. she looks so pale and faint. she's so cold and oh my god there is blood everywhere,bleeding

help my mother fell and i think she broke her leg. she's in so much pain. i can see the bone sticking out and there is so much swelling,bones and muscles
my boyfriend tripped and now he can't move his arm. i think it's broken. he has such a difficulty moving it,bones and muscles
my friend tripped and i think she broke something. her ankle looks twisted. it's sticking out at an odd angle. and there is this horrible sound,bones and muscles
it looks like this person was hit by something. they can barely move and their limbs appear twisted and broken,bones and muscles
this person was hurt. i think they dislocated their shoulder. they are in agony and they can barely move their arm,bones and muscles
it looks like someone has dislocated their knee. they can't walk and their leg is just hanging there,bones and muscles
someone fell and hurt their neck and back. im scared they've broken their spine. they can't feel anything below their hips,bones and muscles
this kid hurt himself and is having breathing difficulties. he dosen't have much feeling in his legs and his back and neck are in pain,bones and muscles
my brother slipped and landed on his back. i think he broke something. his neck is in pain and he can barely breathe,bones and muscles
they slipped and landed on their back. they may have injured their spine. they're back is in so much pain,bones and muscles

help my friend just ate a peanut and he is allergic. it looks like an anaphylactic reaction. he can't breathe. his face is swelling,illnesses and conditions
this kid can barely breathe. her throat and tongue are swelling. she's anxious and wheezing. help i think she's going into shock,illnesses and conditions
my boyfriend has asthma and he can barely breathe. he forgot to take his medication. he won't stop wheezing. he is starting to turn blue,illnesses and conditions
help this person is having a seizure. they're flailing and arching their back and having convulsions. they might bite their tongue,illnesses and conditions 
i think my friend is having a seizure. they're jerking around everywhere and are not responding. they lost bladder control,illnesses and conditions
help i think my mom had a stroke. she can only smile on one side of her face and can only lift one arm,illnesses and conditions
this person is struggling to speak and can only raise one arm. they are only smiling on one side,illnesses and conditions
i think my dad is having an allergic reaction. he can hardly breathe and i think he is going into shock,illnesses and conditions
i think my wife had a stroke. i can barely understand her and she only only move one side of her body,illnesses and conditions
my husband can't breathe. his throat is swelling and his skin is breaking out in hives and becoming blotchy,illnesses and conditions




